pelicula,genero,duracion,minutosVistos,porcentajeVisto,numeroVistas,calificacionUsuario,clasificacion
Pulp Fiction,Crimen,0.02,0.26,0.21,-0.38,1.04,1.18
The Lord of the Rings,Fantasia,1.1,0.54,0.2,-0.38,1.0,1.18
The Dark Knight,Accion,-0.07,0.81,0.76,0.49,-1.17,-0.25
Avengers: Endgame,Accion,1.23,-0.59,-0.75,2.23,-0.16,-1.69
Forrest Gump,Drama,-0.52,1.64,1.78,0.06,-1.22,1.18
The Matrix,Ciencia Ficcion,-0.79,0.26,0.45,0.49,1.62,1.18
Pulp Fiction,Crimen,0.02,1.06,0.97,0.92,0.13,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.37,-1.32,0.06,-1.48,-1.69
Coco,Infantil,-2.18,1.01,2.09,0.49,0.09,1.18
Coco,Infantil,-2.18,-1.17,-0.95,0.92,-0.07,-0.25
Pulp Fiction,Crimen,0.02,1.36,1.26,-1.25,-1.25,-0.25
The Godfather,Crimen,0.96,-0.49,-0.63,-1.25,-0.19,-0.25
The Matrix,Ciencia Ficcion,-0.79,-1.2,-1.12,0.49,-0.38,-0.25
Coco,Infantil,-2.18,-1.2,-0.98,0.49,-0.04,-0.25
The Godfather,Crimen,0.96,0.16,-0.09,0.49,0.63,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.69,-0.63,0.06,-1.42,-1.69
The Lord of the Rings,Fantasia,1.1,-1.42,-1.41,-1.25,-1.72,-1.69
Fight Club,Drama,-0.65,1.69,1.91,0.49,0.79,1.18
The Matrix,Ciencia Ficcion,-0.79,0.13,0.31,-1.25,-1.36,-0.25
Fight Club,Drama,-0.65,-1.22,-1.15,-0.38,-1.26,-1.69
The Dark Knight,Accion,-0.07,1.04,0.98,0.49,-1.0,-0.25
Avengers: Endgame,Accion,1.23,0.11,-0.18,0.92,1.57,1.18
The Dark Knight,Accion,-0.07,-1.17,-1.14,0.92,0.56,-0.25
Fight Club,Drama,-0.65,-1.05,-0.97,1.36,1.69,1.18
Coco,Infantil,-2.18,0.38,1.22,-0.38,-0.8,-0.25
La La Land,Musical,-1.15,-1.2,-1.09,0.92,-1.72,-1.69
Avengers: Endgame,Accion,1.23,0.54,0.17,1.79,-0.25,-0.25
The Dark Knight,Accion,-0.07,0.41,0.38,-0.38,1.11,-0.25
The Matrix,Ciencia Ficcion,-0.79,0.36,0.55,0.49,-1.72,-0.25
Gladiator,Accion,0.06,-0.82,-0.82,-0.38,0.28,-0.25
Inception,Ciencia Ficcion,-0.25,-0.27,-0.24,-0.38,1.5,1.18
Avengers: Endgame,Accion,1.23,-0.64,-0.79,1.36,0.81,-0.25
The Dark Knight,Accion,-0.07,0.16,0.14,-0.38,0.36,-0.25
The Dark Knight,Accion,-0.07,0.49,0.45,-0.81,-0.91,-0.25
The Godfather,Crimen,0.96,-0.32,-0.49,-0.81,-0.25,-0.25
Fight Club,Drama,-0.65,1.11,1.3,0.06,0.77,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.37,-0.49,-1.25,1.19,1.18
Forrest Gump,Drama,-0.52,0.18,0.28,1.79,0.24,-0.25
Avengers: Endgame,Accion,1.23,0.46,0.11,-1.25,-0.41,-0.25
Titanic,Romance,1.86,-1.47,-1.46,0.92,0.39,-0.25
Titanic,Romance,1.86,-1.17,-1.24,0.49,1.69,1.18
Pulp Fiction,Crimen,0.02,0.11,0.07,1.79,-1.66,-0.25
The Dark Knight,Accion,-0.07,-1.4,-1.36,-0.38,-0.72,-1.69
Pulp Fiction,Crimen,0.02,0.36,0.31,0.92,0.99,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.22,-0.07,-0.81,1.39,1.18
Interstellar,Ciencia Ficcion,0.69,0.66,0.4,2.23,-1.19,-0.25
Coco,Infantil,-2.18,-0.32,0.24,-0.38,0.16,-0.25
Forrest Gump,Drama,-0.52,0.69,0.8,-0.38,-1.72,-0.25
La La Land,Musical,-1.15,-0.47,-0.26,0.49,1.09,-0.25
Coco,Infantil,-2.18,1.01,2.09,-0.38,0.16,1.18
Fight Club,Drama,-0.65,-0.8,-0.71,-1.25,-1.58,-1.69
The Lord of the Rings,Fantasia,1.1,0.18,-0.09,1.36,-0.45,-0.25
Inception,Ciencia Ficcion,-0.25,1.67,1.67,0.49,-0.9,1.18
Avengers: Endgame,Accion,1.23,-0.82,-0.93,0.49,-0.59,-1.69
Forrest Gump,Drama,-0.52,-0.64,-0.57,-1.25,1.09,-0.25
Coco,Infantil,-2.18,-1.25,-1.05,-1.25,0.38,-0.25
Avengers: Endgame,Accion,1.23,-0.14,-0.38,-0.81,-0.3,-0.25
Forrest Gump,Drama,-0.52,-1.57,-1.53,0.06,0.55,1.18
Coco,Infantil,-2.18,-1.07,-0.81,-1.25,0.78,-0.25
La La Land,Musical,-1.15,-0.9,-0.75,1.79,0.73,-0.25
The Lord of the Rings,Fantasia,1.1,-1.22,-1.25,0.92,1.12,1.18
Inception,Ciencia Ficcion,-0.25,-0.19,-0.16,1.36,0.13,-0.25
Gladiator,Accion,0.06,1.74,1.6,-1.25,-1.66,1.18
Fight Club,Drama,-0.65,1.87,2.09,-0.81,1.51,1.18
La La Land,Musical,-1.15,-1.45,-1.38,-0.81,-0.59,-1.69
The Lord of the Rings,Fantasia,1.1,-0.49,-0.65,-1.25,1.69,1.18
The Godfather,Crimen,0.96,-0.92,-0.99,0.49,1.42,1.18
Pulp Fiction,Crimen,0.02,-1.52,-1.48,-0.38,0.09,-0.25
Avengers: Endgame,Accion,1.23,1.29,0.77,0.92,1.43,1.18
Titanic,Romance,1.86,-1.52,-1.5,-1.25,0.91,1.18
The Dark Knight,Accion,-0.07,-0.42,-0.42,0.92,-0.99,-1.69
Forrest Gump,Drama,-0.52,-1.3,-1.24,0.92,0.07,-0.25
The Matrix,Ciencia Ficcion,-0.79,0.41,0.61,-0.81,0.34,-0.25
Titanic,Romance,1.86,-0.8,-0.96,-0.81,-1.35,-1.69
Coco,Infantil,-2.18,-0.14,0.48,0.06,-0.37,-0.25
La La Land,Musical,-1.15,0.38,0.72,-0.38,-0.02,-0.25
Titanic,Romance,1.86,0.49,0.0,0.06,-0.8,-0.25
Inception,Ciencia Ficcion,-0.25,1.67,1.67,0.06,-1.04,1.18
Pulp Fiction,Crimen,0.02,-0.14,-0.17,0.49,1.69,1.18
La La Land,Musical,-1.15,-0.09,0.17,-0.81,1.4,1.18
Interstellar,Ciencia Ficcion,0.69,-1.02,-1.06,-0.38,-0.13,-0.25
Inception,Ciencia Ficcion,-0.25,-0.82,-0.78,-0.38,0.87,-0.25
The Lord of the Rings,Fantasia,1.1,-1.27,-1.29,-1.25,-0.25,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.14,-0.3,0.49,-0.53,-1.69
Coco,Infantil,-2.18,0.76,1.74,0.06,-0.77,1.18
Fight Club,Drama,-0.65,1.87,2.09,0.49,-0.21,1.18
Coco,Infantil,-2.18,-1.0,-0.7,-0.38,1.35,1.18
Forrest Gump,Drama,-0.52,1.69,1.83,0.92,-0.19,1.18
The Matrix,Ciencia Ficcion,-0.79,0.79,1.01,-0.81,0.82,-0.25
Avengers: Endgame,Accion,1.23,0.89,0.45,2.66,-0.09,-0.25
Titanic,Romance,1.86,-1.2,-1.26,0.06,-0.6,-0.25
The Dark Knight,Accion,-0.07,0.01,-0.01,-0.38,-0.92,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.59,-0.69,-0.38,1.69,1.18
Pulp Fiction,Crimen,0.02,-1.37,-1.34,0.92,0.37,-0.25
Gladiator,Accion,0.06,-0.24,-0.27,-1.25,0.26,-0.25
Avengers: Endgame,Accion,1.23,2.07,1.4,-0.38,0.58,1.18
Fight Club,Drama,-0.65,-0.22,-0.1,-0.81,0.88,1.18
La La Land,Musical,-1.15,-1.3,-1.2,0.92,-0.86,-1.69
Gladiator,Accion,0.06,0.06,0.01,0.92,1.36,1.18
La La Land,Musical,-1.15,0.56,0.92,0.92,-0.42,-0.25
Fight Club,Drama,-0.65,0.18,0.32,-1.25,-1.39,-0.25
The Godfather,Crimen,0.96,-1.42,-1.41,1.36,-0.54,-0.25
Avengers: Endgame,Accion,1.23,0.44,0.09,-0.81,1.69,1.18
Pulp Fiction,Crimen,0.02,-1.42,-1.39,1.79,0.87,-0.25
The Lord of the Rings,Fantasia,1.1,-0.77,-0.88,-0.81,-0.46,-1.69
Titanic,Romance,1.86,-1.2,-1.26,0.06,1.46,1.18
Gladiator,Accion,0.06,0.21,0.15,-0.38,-1.7,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.01,0.16,-1.25,0.09,-0.25
Forrest Gump,Drama,-0.52,0.16,0.26,-0.38,-0.45,-0.25
Inception,Ciencia Ficcion,-0.25,0.41,0.43,-1.25,1.46,1.18
The Dark Knight,Accion,-0.07,1.94,1.85,-1.25,-0.23,1.18
The Lord of the Rings,Fantasia,1.1,-0.52,-0.67,-0.38,1.27,1.18
Forrest Gump,Drama,-0.52,1.16,1.29,-1.25,-0.39,-0.25
Titanic,Romance,1.86,0.59,0.08,-0.81,1.13,1.18
Forrest Gump,Drama,-0.52,-1.32,-1.27,3.09,-0.73,-1.69
La La Land,Musical,-1.15,-0.54,-0.34,-0.38,-0.76,-1.69
Fight Club,Drama,-0.65,0.18,0.32,-1.25,0.32,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.82,-0.71,-1.25,0.57,-0.25
Titanic,Romance,1.86,-1.0,-1.11,-0.38,1.32,1.18
Avengers: Endgame,Accion,1.23,0.89,0.45,0.92,-0.08,-0.25
Fight Club,Drama,-0.65,0.91,1.09,0.06,1.03,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.77,-0.71,0.49,-0.06,-0.25
Interstellar,Ciencia Ficcion,0.69,0.38,0.16,1.79,-1.21,-0.25
The Dark Knight,Accion,-0.07,-0.19,-0.2,-0.38,-1.43,-1.69
Coco,Infantil,-2.18,1.01,2.09,-0.81,0.58,1.18
Interstellar,Ciencia Ficcion,0.69,-0.07,-0.23,-0.38,0.11,-0.25
Inception,Ciencia Ficcion,-0.25,-1.32,-1.28,0.49,-0.22,-0.25
La La Land,Musical,-1.15,0.96,1.38,-0.81,0.08,1.18
The Shawshank Redemption,Suspenso,-0.43,0.59,0.67,0.49,-0.74,-0.25
Pulp Fiction,Crimen,0.02,0.38,0.33,0.92,-0.42,-0.25
La La Land,Musical,-1.15,1.59,2.09,-0.38,0.55,1.18
Inception,Ciencia Ficcion,-0.25,0.64,0.65,-0.38,0.98,-0.25
Inception,Ciencia Ficcion,-0.25,-0.44,-0.41,-1.25,-0.01,-0.25
The Godfather,Crimen,0.96,0.28,0.02,0.06,1.19,1.18
Avengers: Endgame,Accion,1.23,-1.5,-1.48,-0.38,-0.44,-1.69
The Dark Knight,Accion,-0.07,-1.02,-1.0,-1.25,-1.68,-1.69
Fight Club,Drama,-0.65,0.71,0.88,0.06,-0.22,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.19,-0.04,1.36,-0.97,-0.25
Avengers: Endgame,Accion,1.23,0.11,-0.18,-1.25,0.1,-0.25
Interstellar,Ciencia Ficcion,0.69,1.97,1.53,0.49,-0.6,1.18
Inception,Ciencia Ficcion,-0.25,-0.54,-0.51,-0.38,-0.58,-1.69
Interstellar,Ciencia Ficcion,0.69,-1.4,-1.38,1.36,1.23,1.18
The Lord of the Rings,Fantasia,1.1,-1.17,-1.21,-0.38,-0.94,-1.69
Interstellar,Ciencia Ficcion,0.69,0.64,0.38,0.06,-0.1,-0.25
Pulp Fiction,Crimen,0.02,0.31,0.26,0.49,-1.34,-0.25
Titanic,Romance,1.86,1.61,0.85,-0.81,0.69,1.18
The Lord of the Rings,Fantasia,1.1,0.44,0.11,-0.81,-1.22,-0.25
The Lord of the Rings,Fantasia,1.1,-0.97,-1.04,1.36,-1.72,-1.69
The Dark Knight,Accion,-0.07,-1.47,-1.43,-1.25,1.15,1.18
Avengers: Endgame,Accion,1.23,1.16,0.67,-1.25,0.9,1.18
The Dark Knight,Accion,-0.07,-1.2,-1.17,0.92,-1.72,-1.69
Gladiator,Accion,0.06,0.76,0.67,1.79,0.28,-0.25
Forrest Gump,Drama,-0.52,1.92,2.07,0.06,0.3,1.18
The Dark Knight,Accion,-0.07,-1.55,-1.5,-0.81,-1.38,-1.69
Interstellar,Ciencia Ficcion,0.69,0.41,0.18,0.92,1.61,1.18
Fight Club,Drama,-0.65,-1.07,-1.0,0.92,-1.03,-1.69
Interstellar,Ciencia Ficcion,0.69,0.41,0.18,-0.38,-0.61,-0.25
Fight Club,Drama,-0.65,0.76,0.93,-0.38,-1.44,-0.25
Titanic,Romance,1.86,-1.22,-1.28,0.49,-0.22,-0.25
Avengers: Endgame,Accion,1.23,1.56,1.0,1.36,1.47,1.18
Titanic,Romance,1.86,-0.87,-1.01,-0.38,1.46,1.18
Avengers: Endgame,Accion,1.23,0.36,0.02,-1.25,0.39,-0.25
Avengers: Endgame,Accion,1.23,2.09,1.42,-0.81,0.95,1.18
The Lord of the Rings,Fantasia,1.1,1.64,1.1,0.49,-0.21,-0.25
Gladiator,Accion,0.06,-0.57,-0.58,0.06,-0.65,-0.25
Fight Club,Drama,-0.65,-0.19,-0.07,3.53,0.21,-0.25
The Lord of the Rings,Fantasia,1.1,-0.52,-0.67,1.36,-0.92,-1.69
The Dark Knight,Accion,-0.07,-0.85,-0.83,0.49,-0.85,-1.69
La La Land,Musical,-1.15,-0.34,-0.11,1.79,-0.26,-0.25
Pulp Fiction,Crimen,0.02,0.94,0.85,2.23,0.48,-0.25
Avengers: Endgame,Accion,1.23,1.89,1.26,1.79,-0.05,-0.25
Fight Club,Drama,-0.65,0.59,0.75,-0.38,0.74,1.18
Titanic,Romance,1.86,2.22,1.3,0.92,-0.41,-0.25
Interstellar,Ciencia Ficcion,0.69,0.91,0.62,1.36,1.65,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.32,-0.17,-0.81,-1.03,-1.69
The Dark Knight,Accion,-0.07,-1.35,-1.31,1.36,1.51,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.74,-0.63,0.92,-0.5,-1.69
The Shawshank Redemption,Suspenso,-0.43,-1.47,-1.42,-0.38,0.48,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.64,0.72,-1.25,0.03,-0.25
Interstellar,Ciencia Ficcion,0.69,0.96,0.66,-1.25,-1.34,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.49,0.56,1.79,-0.43,-0.25
Forrest Gump,Drama,-0.52,1.74,1.89,0.92,-1.6,1.18
Titanic,Romance,1.86,0.03,-0.33,0.49,0.09,-0.25
Avengers: Endgame,Accion,1.23,0.31,-0.02,-1.25,0.17,-0.25
The Lord of the Rings,Fantasia,1.1,-0.74,-0.86,0.49,1.63,1.18
Gladiator,Accion,0.06,-1.02,-1.01,-1.25,0.27,-0.25
The Dark Knight,Accion,-0.07,0.01,-0.01,0.92,0.0,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.39,1.66,0.49,1.21,1.18
Interstellar,Ciencia Ficcion,0.69,-0.39,-0.51,-1.25,-1.28,-1.69
Forrest Gump,Drama,-0.52,-0.07,0.03,0.49,0.35,-0.25
Interstellar,Ciencia Ficcion,0.69,0.66,0.4,-0.81,-1.72,-0.25
The Lord of the Rings,Fantasia,1.1,-0.82,-0.92,0.06,0.64,-0.25
La La Land,Musical,-1.15,-0.52,-0.32,0.06,0.84,1.18
La La Land,Musical,-1.15,-0.32,-0.09,-1.25,0.47,-0.25
Forrest Gump,Drama,-0.52,0.03,0.13,-1.25,0.4,-0.25
Coco,Infantil,-2.18,0.99,2.06,1.79,-0.16,1.18
Titanic,Romance,1.86,-1.07,-1.16,-0.38,1.69,1.18
The Shawshank Redemption,Suspenso,-0.43,1.36,1.46,0.49,0.19,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.74,-0.68,0.49,1.0,1.18
Titanic,Romance,1.86,-0.34,-0.62,-0.38,0.12,-0.25
Titanic,Romance,1.86,-0.95,-1.07,0.92,-0.29,-0.25
Fight Club,Drama,-0.65,1.87,2.09,1.36,-1.35,1.18
The Godfather,Crimen,0.96,0.38,0.1,-1.25,0.61,-0.25
Titanic,Romance,1.86,0.13,-0.26,-0.81,-0.07,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.14,-0.3,0.92,0.38,-0.25
Fight Club,Drama,-0.65,0.08,0.22,-0.81,-0.37,-0.25
Coco,Infantil,-2.18,-1.47,-1.37,1.36,-0.23,-0.25
The Dark Knight,Accion,-0.07,-1.22,-1.19,0.92,-0.62,-1.69
Fight Club,Drama,-0.65,0.74,0.9,0.92,0.03,-0.25
Inception,Ciencia Ficcion,-0.25,0.18,0.21,-0.81,0.78,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.32,-1.27,-0.38,-0.64,-0.25
The Lord of the Rings,Fantasia,1.1,-0.74,-0.86,0.06,1.31,1.18
Inception,Ciencia Ficcion,-0.25,0.66,0.68,-1.25,-0.5,-0.25
Interstellar,Ciencia Ficcion,0.69,-1.5,-1.47,0.49,0.74,1.18
The Matrix,Ciencia Ficcion,-0.79,0.94,1.18,1.36,-1.59,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.97,-0.88,0.49,-0.2,-0.25
Titanic,Romance,1.86,-0.72,-0.9,-1.25,-0.73,-0.25
The Dark Knight,Accion,-0.07,-0.77,-0.76,1.36,0.65,-0.25
Fight Club,Drama,-0.65,1.87,2.09,0.92,1.24,1.18
La La Land,Musical,-1.15,-1.5,-1.43,1.36,-0.79,-1.69
The Matrix,Ciencia Ficcion,-0.79,-0.39,-0.25,0.49,0.54,-0.25
Forrest Gump,Drama,-0.52,-1.02,-0.96,-0.38,-0.72,-1.69
Titanic,Romance,1.86,1.59,0.83,-0.81,0.36,-0.25
Forrest Gump,Drama,-0.52,-0.77,-0.7,-1.25,-0.82,-1.69
Avengers: Endgame,Accion,1.23,-0.32,-0.52,0.49,1.43,1.18
The Dark Knight,Accion,-0.07,0.26,0.23,-1.25,-1.22,-0.25
Gladiator,Accion,0.06,-0.47,-0.49,-1.25,1.69,1.18
The Lord of the Rings,Fantasia,1.1,-0.82,-0.92,0.49,0.3,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.31,0.39,-1.25,-0.38,-0.25
Fight Club,Drama,-0.65,-1.12,-1.05,-0.81,-1.11,-1.69
Coco,Infantil,-2.18,0.96,2.02,-0.81,-0.7,1.18
The Lord of the Rings,Fantasia,1.1,-1.02,-1.08,-0.81,-0.15,-0.25
Titanic,Romance,1.86,1.09,0.46,-0.38,1.09,1.18
Interstellar,Ciencia Ficcion,0.69,-0.44,-0.56,-1.25,0.34,-0.25
Pulp Fiction,Crimen,0.02,0.64,0.57,-1.25,0.95,1.18
Pulp Fiction,Crimen,0.02,1.72,1.59,0.92,0.44,1.18
Coco,Infantil,-2.18,0.01,0.69,1.79,1.21,1.18
Pulp Fiction,Crimen,0.02,-0.64,-0.65,-1.25,-0.91,-1.69
The Matrix,Ciencia Ficcion,-0.79,0.31,0.5,-0.81,-0.58,-0.25
Gladiator,Accion,0.06,-0.82,-0.82,0.92,-1.72,-1.69
Avengers: Endgame,Accion,1.23,-1.35,-1.35,-0.81,1.5,1.18
Gladiator,Accion,0.06,-0.42,-0.44,-1.25,-0.82,-1.69
Avengers: Endgame,Accion,1.23,-1.52,-1.5,0.06,1.22,1.18
Fight Club,Drama,-0.65,1.14,1.33,0.92,-0.02,-0.25
Fight Club,Drama,-0.65,-0.42,-0.31,-0.81,-1.16,-1.69
Gladiator,Accion,0.06,-0.49,-0.51,-1.25,1.02,-0.25
The Dark Knight,Accion,-0.07,-1.32,-1.29,-0.38,0.63,-0.25
Fight Club,Drama,-0.65,-1.2,-1.13,0.92,1.64,1.18
The Dark Knight,Accion,-0.07,-0.37,-0.37,1.36,-1.1,-1.69
Titanic,Romance,1.86,0.38,-0.07,0.06,-1.72,-0.25
Inception,Ciencia Ficcion,-0.25,1.87,1.87,0.06,0.94,1.18
Forrest Gump,Drama,-0.52,0.96,1.08,0.92,1.69,1.18
Coco,Infantil,-2.18,1.01,2.09,-0.81,1.01,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.0,-0.94,0.06,0.06,-0.25
Titanic,Romance,1.86,-1.37,-1.39,0.49,1.27,1.18
The Lord of the Rings,Fantasia,1.1,1.34,0.86,-1.25,0.77,-0.25
Fight Club,Drama,-0.65,-1.25,-1.18,-1.25,0.88,-0.25
Gladiator,Accion,0.06,-0.92,-0.91,-1.25,-0.79,-1.69
Forrest Gump,Drama,-0.52,1.61,1.76,-0.38,-1.24,1.18
Avengers: Endgame,Accion,1.23,-1.57,-1.54,-0.81,0.29,-0.25
Forrest Gump,Drama,-0.52,0.16,0.26,0.49,1.47,1.18
The Godfather,Crimen,0.96,-0.85,-0.93,-0.38,0.97,1.18
The Lord of the Rings,Fantasia,1.1,0.56,0.22,-0.81,0.57,1.18
Titanic,Romance,1.86,-1.25,-1.29,0.06,-1.4,-1.69
La La Land,Musical,-1.15,0.51,0.86,0.92,-0.44,-0.25
Gladiator,Accion,0.06,0.69,0.6,0.06,0.31,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.04,0.03,1.36,-1.72,-0.25
Gladiator,Accion,0.06,0.31,0.25,-1.25,0.81,-0.25
Fight Club,Drama,-0.65,-1.1,-1.02,0.92,-1.35,-1.69
Avengers: Endgame,Accion,1.23,-0.47,-0.64,-0.81,-1.72,-1.69
Interstellar,Ciencia Ficcion,0.69,0.44,0.2,1.79,-0.84,-0.25
Inception,Ciencia Ficcion,-0.25,-0.8,-0.76,-0.38,0.21,-0.25
The Dark Knight,Accion,-0.07,-0.12,-0.13,0.92,1.11,-0.25
Coco,Infantil,-2.18,-1.52,-1.44,-1.25,-0.4,-0.25
Coco,Infantil,-2.18,-1.47,-1.37,-1.25,-1.54,-1.69
Interstellar,Ciencia Ficcion,0.69,0.59,0.33,-1.25,-0.86,-0.25
Coco,Infantil,-2.18,-0.54,-0.07,-0.38,0.9,1.18
The Lord of the Rings,Fantasia,1.1,-0.09,-0.32,0.49,-1.57,-1.69
Inception,Ciencia Ficcion,-0.25,-1.15,-1.11,1.36,-0.37,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.72,-0.8,0.92,0.17,-0.25
Coco,Infantil,-2.18,1.01,2.09,0.06,-0.2,1.18
Coco,Infantil,-2.18,1.01,2.09,-0.38,1.69,1.18
The Dark Knight,Accion,-0.07,0.36,0.33,0.06,-0.97,-0.25
Avengers: Endgame,Accion,1.23,-0.85,-0.95,0.06,-1.11,-1.69
Avengers: Endgame,Accion,1.23,-0.59,-0.75,-0.38,1.02,1.18
La La Land,Musical,-1.15,-1.42,-1.35,0.06,-1.38,-1.69
Coco,Infantil,-2.18,-0.17,0.45,0.06,-1.14,-0.25
The Matrix,Ciencia Ficcion,-0.79,0.33,0.53,0.49,0.49,1.18
Gladiator,Accion,0.06,-0.82,-0.82,-0.81,-1.72,-1.69
Interstellar,Ciencia Ficcion,0.69,-1.1,-1.12,-1.25,-1.66,-1.69
Fight Club,Drama,-0.65,-0.59,-0.49,-0.38,0.71,-0.25
The Shawshank Redemption,Suspenso,-0.43,0.21,0.28,0.92,1.64,1.18
Titanic,Romance,1.86,-0.52,-0.75,0.06,-1.24,-1.69
La La Land,Musical,-1.15,0.23,0.54,2.66,1.44,1.18
Pulp Fiction,Crimen,0.02,2.09,1.95,-1.25,-1.72,1.18
Fight Club,Drama,-0.65,-0.29,-0.18,-1.25,0.84,-0.25
The Dark Knight,Accion,-0.07,1.41,1.34,-1.25,0.3,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.19,-0.12,2.23,0.14,-0.25
Fight Club,Drama,-0.65,0.51,0.67,0.92,-0.4,-0.25
Forrest Gump,Drama,-0.52,-0.34,-0.26,-1.25,0.04,-0.25
Gladiator,Accion,0.06,-1.5,-1.46,-1.25,-1.17,-1.69
The Shawshank Redemption,Suspenso,-0.43,-0.64,-0.58,0.92,0.16,-0.25
Forrest Gump,Drama,-0.52,-0.95,-0.88,-1.25,-0.73,-1.69
Fight Club,Drama,-0.65,0.76,0.93,-1.25,-1.09,-0.25
Inception,Ciencia Ficcion,-0.25,-0.24,-0.21,1.79,-0.94,-1.69
The Godfather,Crimen,0.96,-0.77,-0.86,-0.81,-1.45,-1.69
Inception,Ciencia Ficcion,-0.25,1.19,1.2,-0.38,-1.54,-0.25
Gladiator,Accion,0.06,0.99,0.89,-1.25,0.97,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.39,-0.33,0.92,0.57,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.47,-0.4,-0.38,0.93,1.18
Gladiator,Accion,0.06,-0.19,-0.23,0.06,0.55,-0.25
Forrest Gump,Drama,-0.52,1.01,1.14,1.36,0.93,-0.25
Avengers: Endgame,Accion,1.23,-0.8,-0.91,0.92,0.1,-0.25
The Godfather,Crimen,0.96,0.16,-0.09,1.36,1.69,1.18
Fight Club,Drama,-0.65,1.87,2.09,0.49,-0.49,1.18
Titanic,Romance,1.86,0.46,-0.01,-0.38,-1.26,-0.25
The Dark Knight,Accion,-0.07,0.08,0.06,1.79,-0.43,-0.25
Inception,Ciencia Ficcion,-0.25,1.01,1.03,-0.38,-0.44,-0.25
Inception,Ciencia Ficcion,-0.25,2.09,2.09,0.06,-0.35,1.18
The Lord of the Rings,Fantasia,1.1,-1.17,-1.21,-0.81,-0.27,-0.25
Pulp Fiction,Crimen,0.02,-1.32,-1.29,-1.25,-1.33,-1.69
The Lord of the Rings,Fantasia,1.1,-1.6,-1.56,0.06,0.37,-0.25
The Godfather,Crimen,0.96,1.09,0.69,-0.81,-0.33,-0.25
The Dark Knight,Accion,-0.07,0.01,-0.01,1.36,-1.2,-0.25
Inception,Ciencia Ficcion,-0.25,-1.55,-1.5,0.49,-1.13,-1.69
The Dark Knight,Accion,-0.07,0.49,0.45,2.66,1.34,1.18
Titanic,Romance,1.86,1.46,0.74,-1.25,0.9,1.18
Fight Club,Drama,-0.65,0.54,0.69,-1.25,-0.32,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.47,-1.42,-0.38,-0.86,-1.69
The Dark Knight,Accion,-0.07,-0.82,-0.8,-1.25,0.17,-0.25
Inception,Ciencia Ficcion,-0.25,-0.74,-0.71,0.49,-0.95,-1.69
Forrest Gump,Drama,-0.52,-1.07,-1.01,0.49,1.15,1.18
Coco,Infantil,-2.18,0.61,1.53,-1.25,1.54,1.18
The Godfather,Crimen,0.96,0.66,0.33,0.49,0.76,1.18
Gladiator,Accion,0.06,-0.97,-0.96,0.92,0.65,-0.25
Avengers: Endgame,Accion,1.23,0.38,0.04,-0.38,1.57,1.18
Interstellar,Ciencia Ficcion,0.69,0.08,-0.1,-0.81,1.61,1.18
The Matrix,Ciencia Ficcion,-0.79,0.94,1.18,-1.25,1.69,1.18
Avengers: Endgame,Accion,1.23,-0.82,-0.93,-1.25,-0.34,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.39,-0.25,1.79,0.38,-0.25
Interstellar,Ciencia Ficcion,0.69,-1.05,-1.08,0.06,0.14,-0.25
The Dark Knight,Accion,-0.07,-0.12,-0.13,-0.81,-1.28,-1.69
The Godfather,Crimen,0.96,2.19,1.61,-0.81,0.9,1.18
The Dark Knight,Accion,-0.07,1.06,1.01,0.49,-0.3,-0.25
Titanic,Romance,1.86,-1.25,-1.29,-0.81,0.52,-0.25
Titanic,Romance,1.86,0.81,0.25,0.92,-1.25,-0.25
Titanic,Romance,1.86,-1.02,-1.13,0.49,-0.72,-1.69
Coco,Infantil,-2.18,0.28,1.08,-0.38,0.24,-0.25
Gladiator,Accion,0.06,-0.8,-0.8,0.06,0.3,-0.25
